time,X,Y,Z,dX,dY,dZ,dE,dN,dU,n_sat
1714443480.0,4151845.508417709,5461872.854769597,-170179.33857024857,4432782.291518162,12176012.446836818,1198828.8283643944,3919876.8113103537,-1305869.9374110566,-12339825.68758397,9
1714443510.0,4161645.695972666,5456723.674851062,58410.64251036526,4442582.479073119,12170863.266918283,1427418.8094450082,3929883.6975346105,-1080985.91838771,-12381092.834279407,9
1714443540.0,4166804.9631511616,5445503.430190256,286935.5508959642,4447741.746251615,12159643.022257477,1655943.7178306072,3935507.5275170067,-854908.5523611298,-12416214.662072487,9
1714443570.0,4167291.56360051,5428245.495805987,515140.6459040694,4448228.346700964,12142385.087873207,1884148.8128387122,3936715.1873838613,-627893.8204435515,-12445171.380065093,9
1714443600.0,4163078.537548261,5404989.331725848,742771.6839178606,4444015.320648715,12119128.923793068,2111779.8508525034,3933478.0912673064,-400198.47792252223,-12467949.44904468,9
1714443630.0,4154144.462299075,5375781.32678647,969575.0350898874,4435081.245399528,12089920.918853689,2338583.2020245306,3925772.895870143,-172080.11554011935,-12484542.461544558,8
1714443660.0,4140473.545120436,5340674.799716128,1195298.0385321246,4421410.32822089,12054814.39178335,2564306.205466768,3913581.5932250954,56203.18746411614,-12494951.218037201,8
1714443690.0,4122055.3659308907,5299729.474525518,1419689.2163042785,4402992.149031344,12013869.066592738,2788697.3832389214,3896891.275539793,284393.1804027967,-12499183.245896967,8
1714443720.0,4098885.008310023,5253011.583310355,1642498.568944649,4379821.791410477,11967151.175377576,3011506.735879292,3875694.2617944637,512231.70892421715,-12497252.964734588,8
1714443750.0,4070963.345794772,5200594.024514739,1863477.9337759526,4351900.128895225,11914733.61658196,3232486.1007105955,3849988.3771715867,739461.0318603399,-12489181.924981216,8
1714443780.0,4038296.931605847,5142556.120003741,2082381.2826553222,4319233.714706301,11856695.71207096,3451389.449589965,3819776.853034542,965824.1625790885,-12474998.625396252,8
1714443810.0,4000897.775482197,5078983.1672660215,2298964.873600181,4281834.5585826505,11793122.759333242,3667973.040534824,3785068.122677786,1191065.1092433608,-12454738.096086096,8
1714443840.0,3958783.198536683,5009966.166196761,2512987.3874901515,4239719.981637136,11724105.758263981,3881995.5544247944,3745875.6877315245,1414929.064766347,-12428441.652595352,8
1714443870.0,3911977.4903801284,4935603.644530625,2724211.245486406,4192914.2734805816,11649743.236597845,4093219.412421049,3702219.6975230104,1637163.3172152573,-12396159.015020434,8
1714443900.0,3860509.3008421953,4855998.387879998,2932401.2973944726,4141446.0839426485,11570137.979947219,4301409.464329116,3654124.479781661,1857516.6428954257,-12357944.737239605,8
1714443930.0,3804413.3347066585,4771259.37248905,3137326.0817820854,4085350.1178071117,11485398.96455627,4506334.248716729,3601620.153092032,2075740.1387706385,-12313860.421102393,7
1714443960.0,3743729.908092423,4681501.116680853,3338757.865181344,4024666.691192876,11395640.708748072,4707766.032115987,3544742.2107760566,2291587.3947202195,-12263974.071349004,8
1714443990.0,3678504.9098486677,4586843.439300644,3536472.8319225763,3959441.692949121,11300983.031367864,4905480.998857219,3483531.4924204606,2504814.7282969397,-12208359.895723056,8
1714444020.0,3608789.7793008853,4487411.388028493,3730251.3606440844,3889726.5624013385,11201550.980095714,5099259.527578727,3418034.1646392094,2715181.4701742628,-12147098.2894236,8
1714444050.0,3534641.59727065,4383335.127414372,3919878.274296948,3815578.380371103,11097474.719481591,5288886.441231592,3348301.816694511,2922450.230759128,-12080275.779450897,8
1714444080.0,3456122.784745702,4274749.426092797,4105143.0241748,3737059.5678461553,10988889.018160017,5474151.191109443,3274391.1808678284,3126387.1858904995,-12007984.547323,8
1714444110.0,3373301.154079543,4161794.007246213,4285840.081103172,3654237.937179996,10875933.599313434,5654848.248037815,3196364.168963252,3326762.389310687,-11930322.85275518,8
1714444140.0,3286250.3852311475,4044613.348405301,4461769.483470109,3567187.1683316007,10758752.94047252,5830777.650404752,3114288.3565003998,3523350.345702318,-11847394.967270263,8
1714444170.0,3195048.886900636,3923355.739768754,4632736.1708564665,3475985.670001089,10637495.331835974,6001744.337791109,3028235.8842136064,3715929.5563990916,-11759310.072046466,8
1714444200.0,3099780.4058124647,3798173.74601986,4798550.771699486,3380717.188912918,10512313.33808708,6167558.938634129,2938284.0474957554,3904283.193226427,-11666182.893062418,8
1714444230.0,3000532.764873021,3669223.0955018234,4959028.301461297,3281469.547973474,10383362.687569045,6328036.46839594,2844514.0820981534,4088198.056666588,-11568132.30074069,6
1714444260.0,2897402.7772651976,3536665.976105926,5113995.021629304,3178339.560365651,10250805.568173146,6483003.188563947,2747015.9361411175,4267470.59256616,-11465286.114553574,6
1714444290.0,2790486.290715442,3400664.0412317053,5263275.287900832,3071423.0738158952,10114803.633298926,6632283.4548354745,2645878.6154775224,4441895.495155275,-11357771.20856589,6
1714444320.0,2679887.48126269,3261384.2588720163,5406703.416364407,2960824.264363143,9975523.850939237,6775711.58329905,2541199.224809914,4611276.079872714,-11245721.999950528,4
1714444350.0,2565716.8153414866,3118998.5491438783,5544125.906930119,2846653.59844194,9833138.141211098,6913134.073864762,2433080.9467086624,4775426.551337585,-11129280.457263904,5
1714444380.0,2448086.2695990657,2973678.9051469243,5675388.313581764,2729023.052699519,9687818.497214144,7044396.480516407,2321628.4695854085,4934160.160190504,-11008588.492383627,5
1714444410.0,2327113.532184638,2825600.9195504836,5800345.599944131,2608050.3152850913,9539740.511617703,7169353.766878774,2206952.0378769464,5087298.604831481,-10883793.66390727,6
1714444440.0,2202921.7494620644,2674943.9670935497,5918864.140798185,2483858.5325625176,9389083.559160769,7287872.307732828,2089167.1913497427,5234673.957668849,-10755049.747351106,6
1714444470.0,2075634.9264514702,2521885.684892654,6030803.412097199,2356571.7095519234,9236025.276959874,7399811.579031842,1968390.4003188545,5376111.874263491,-10622507.467232566,6
1714444500.0,1945384.5801636185,2366609.497989868,6136043.385649989,2226321.3632640718,9080749.090057088,7505051.552584632,1844745.3985527114,5511456.86410192,-10486327.636771325,6
1714444530.0,1812307.8336463317,2209302.581428108,6234479.804027852,2093244.6167467851,8923442.173495328,7603487.970962495,1718361.364183262,5640568.086664638,-10346678.136271974,6
1714444560.0,1676539.4190023548,2050146.3759390013,6325986.895996047,1957476.2021028083,8764285.968006222,7694995.06293069,1589365.3262161578,5763284.796542472,-10203716.815116026,6
1714444590.0,1538222.9097616882,1889329.693397583,6410470.106564367,1819159.6928621416,8603469.285464803,7779478.27349901,1457892.8391968086,5879475.275418045,-10057615.368320677,7
